ID,Statement,Question_phi,Question_mistral,Label
9103.json,I was the most bipartisan senator in the United States Senate., What evidence or statements confirm my status as the most bipartisan senator in the United States Senate?,"Which senator held the title of the most bipartisan in the United States Senate, as stated in the headline?",mostly-true
6482.json,"Says Gov. Scott Walker raises the pay of inmates, but we dont raise the pay of staff in our correctional institutions."," How does Governor Scott Walker's proposed inmate pay raise compare to the pay raise, or lack thereof, for staff in Wisconsin's correctional institutions?","1. ""Did Gov. Scott Walker increase inmatepay in correctional institutions while keeping staff pay the same?""",barely-true
10525.json,The current debate over authorizing military action against the Islamic State would be the first time Congress would place limits on the commander-in-chiefs ability to be commander-in-chief., What evidence is there supporting that the current debate over authorizing military action against the Islamic State marks the first instance Congress is placing limits on the commander-in-chief's ability to be commander-in-chief?,"1. ""Has Congress previously limited the commander-in-chief's military authority with regard to the Islamic State?""",false
4308.json,U.S. debt is now equal to 100 percent of the GDP., What is the current debt-to-GDP ratio of the U.S. according to Google search results?, what is the current ratio of U.S. national debt to Gross Domestic Product?,mostly-true
2536.json,Tom Ganley supports a 23 percent national sales tax that would raise taxes on the middle class while giving a huge tax break to millionaires like himself., What evidence supports that Tom Ganley backs a 23% national sales tax benefiting millionaires at the expense of the middle class?,"1. ""Has Tom Ganley publicly expressed support for a 23% national sales tax that disproportionately benefits millionaires over the middle class?""",barely-true
2639.json,Pat Toomey still supports privatizing Social Security., What evidence supports the claim that Pat Toomey still supports privatizing Social Security?,What does the latest news article or interview state about Senator Pat Toomey's current position on privatizing Social Security?,half-true
11314.json,The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago., What evidence supports the claim that the marijuana children are smoking today is different from the marijuana Jeb Bush smoked 40 years ago?," What are the key differences between the marijuana strains commonly used today and those from 40 years ago, indicated by scientific analysis or expert reports?",true
763.json,Barack Obama voted against born alive legislation in Illinois that was virtually identical to the federal law., Does Barack Obama's record show a vote against similar born alive legislation in Illinois as the federal law?,"1. ""Did Barack Obama oppose a born-alive legislation in Illinois similar to the federal law during his legislative career?""",true
12769.json,"Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China."," What locations are reported as the manufacturing origins for Trump's clothing, beverages, and accessories according to the headline?"," associations_or_statements: [
 {
 source: ""news"",
 question: ""Is it true that Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware",mostly-true
5094.json,Says President Barack Obama has opened up no new trade relationships with other nations., What evidence supports or refutes the claim that President Barack Obama did not open any new trade relationships with other nations?,ίστε έχει źευγάρισε νέα συνθέτη συνεργασία ανάπτυξ,false
8525.json,Says taxpayer subsidy for the Oregon Convention Center hotel jumped $100 million in closed-door sessions, What evidence demonstrates a $100 million increase in taxpayer subsidy for the Oregon Convention Center hotel during closed-door sessions?,"1. ""How much did the taxpayer subsidy for the Oregon Convention Center hotel increase in closed-door sessions?""",true
2851.json,"Says you can buy four light bulbs for $1.99 at Walmart, while a single compact fluorescent lamp (CFL) costs $10 a pop.", How does the cost per bulb of four at Walmart compare to the cost of a single CFL at $10?,"Question: ""What is the price of four light bulbs and the price of a single compact fluorescent lamp at Walmart as stated in the headline?""",barely-true
10618.json,"(Jeb) Bush, not the State of Florida, decided which private emails to disclose."," What evidence supports the claim that Jeb Bush, not the State of Florida, made the decision regarding the disclosure of private emails?","1. ""Who made the decision on which private emails Jeb Bush would disclose, not the State of Florida?""",mostly-true
1307.json,History tells us that job growth always lags behind economic growth., How does historical data support the claim that job growth consistently lags behind economic growth?,"1. ""Does historical data show that job growth regularly lags behind economic growth?""",true
10310.json,Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade., What evidence supports the claim that Bill Howell has been responsible for every major tax increase in Virginia over the past ten years?,"1. ""Has Bill Howell been the primary sponsor or key figure in passing major tax increases in Virginia during the last decade?""",mostly-true
7439.json,"More than 9,000 Rhode Island voters used the Moderate Party master lever mechanism and they didnt have a single Moderate on their ballot."," What search query could verify if over 9,000 Rhode Island voters used the Moderate Party master lever mechanism without any Moderate candidates on their ballot?","1. ""Did more than 9,000 Rhode Island voters use the Moderate Party master lever mechanism in an election where no Moderate candidates were on the ballot?""",mostly-true
6561.json,President Obama is attacking Paul Ryan on Medicare even though it is his administration with the help of Jim Langevin who cut $716 billion from Medicare.," What evidence supports the claim that it was Obama's administration, with Jim Langevin's help, that cut $716 billion from Medicare?","Question: ""Did President Obama and Jim Langevin actually cut $716 billion from Medicare during Obama's administration?""",half-true
12570.json,Says Hillary Clinton has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.," Does Hillary Clinton's book, in fact, delete records of her support for the Trans-Pacific Partnership trade agreement?"," ""_Has Hillary Clinton removed mention of her full support for the Trans-Pacific Partnership from her published books?_""",pants-fire
828.json,"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'", What did Obama actually state about Iran's threat level as reported in the headline?,"1. ""Did Obama make the statement: 'Iran is a tiny country, doesn't pose a serious threat'?""",false
1861.json,Barbara Boxers worried about the weather instead of terrorism as the biggest threat to national security., What evidence exists to support the claim that Barbara Hansen is more concerned about weather than terrorism as a threat to national security?,"1. ""Did Barbara Boxer express concern about weather over terrorism as the greatest national security threat in a specific news article?""",pants-fire
2019.json,We spend three times more on entitlements and debt services than we do on defense., What is the actual spending comparison between defense and entitlements/debt services expenditures?,"What is the actual difference in government spending between entitlements, debt services, and defense?",true
10240.json,"In the 2014 elections, the American people overwhelmingly said we dont want Obamacare and we dont want amnesty."," What percentage of the American electorate voted against Obamacare and for amnesty in the 2014 elections, according to reputable polling data?","1. ""Did a majority of Americans vote against Obamacare and amnesty in the 2014 elections?""",false
9206.json,Dan Patrick got caught not paying his taxes and pocketed his employees payroll taxes., What evidence exists confirming Dan Patrick failed to pay his taxes and misused employee payroll taxes?,"1. ""DidDan Patrick have unpaid tax obligations and misappropriate employee payroll taxes?""",half-true
12488.json,Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists., What is the title of the opinion written by Merrick Garland that led to the release of 17 Guantanamo Bay prisoners tagged as violent Islamist extremists by the State Department?,"1. ""Did Merrick Garland author an opinion leading to the release of 17 Guantanamo Bay prisoners labeled as violent Islamist extremists by the State Department?""",barely-true
10209.json,"Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014.", How do the 2014 re-election rates of incumbent lawmakers compare with the reported 11 percent approval rating for Congress?,"1. ""What was the approval rating of Congress and the re-election rate of incumbent lawmakers in 2014?""",true
2871.json,Letting the Bush tax cuts expire would raise taxes on small businesses.," ""How would letting the Bush tax cuts expire affect taxes on small businesses?""","1. ""What is the impact of letting Bush tax cuts expire on taxes for small businesses?""",barely-true
5337.json,"Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase."," ""Has the correlation between the implementation of more restrictive abortion laws and the subsequent rise in both abortion fatalities and the number of abortions been substantiated by statistical data?""","Question: ""Does making abortion laws more restrictive result in an increase in abortion fatalities and procedures?""",barely-true
2141.json,The presidents budget would take ... non-defense spending to its lowest level ... as a percentage of the economy since JFK.," What is the specific percentage of non-defense spending as a portion of the economy since JFK, according to President's budget plans?","What is the proposed percentage of non-defense spending in the president's budget compared to the size of the economy, according to reliable sources?",mostly-true
8804.json,"Of the approximately 6 million disenfranchised felons in the United States, one-quarter are Floridians.", What percentage of the approximately 6 million disenfranchised felons in the United States are Floridians?,"1. ""How many disenfranchised felons in the US are Floridians out of the total number?""",mostly-true
375.json,"Obama ""basically threatened to bomb Pakistan.""", What evidence supports the claim that Obama threatened to bomb Pakistan?,"[""Did Obama make a specific threat to bomb Pakistan during a particular incident?""]",pants-fire
2999.json,The Governor did not consult members of his own party before he released his [transportation] plan., What evidence exists that the Governor did not consult members of his own party before releasing his transportation plan?,"1. ""Did the Governor consult members of his own party before releasing his transportation plan, according to reliable news sources?""",false
3023.json,Ohio has lost more population than every other state in the country except for two.," ""Has the reported population decrease in Ohio been the largest in comparison to other states, making it one of only two states apart from the exceptions?""","questions = [""Has Ohio experienced a greater population loss than all other states except for two in the latest census data?""]
question = questions[0]
print(question)

# This will output: ""Has Ohio experienced a greater",false
12332.json,"Here in California, Donald Trump has given $12,000 to Jerry Brown, Gavin Newsom and Kamala Harris."," What evidence is there of Donald Trump personally giving $12,000 to Jerry Brown, Gavin Newsom, and Kamala Harris in California?","1. ""Has Donald Trump donated $12,000 each to Jerry Brown, Gavin Newsom, and Kamala Harris in California?""",mostly-true
2294.json,Gov. Rick Perry has overseen the highest Texas unemployment in 22 years., What current unemployment rate in Texas confirms Gov. Rick Perry's tenure as the highest Texas unemployment in 22 years?,What is the current unemployment rate in Texas under Governor Rick Perry's tenure as compared to the past 22 years?,half-true
10021.json,On support for the auto bailouts.," ""Has there been a recent legislative change supporting the implementation of auto bailouts?""","1. ""Who expressed support for the auto bailouts in the news article?""",false
9246.json,"Ed Gillespies 2006 book promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.", What evidence supports the claim that Ed Gillespie's 2006 book advocates for an individual health care mandate enforced by the IRS via the income tax code?,"1. ""Did Ed Gillespie's 2006 book advocate for an individual health care mandate enforced by the IRS?""",mostly-true
11971.json,When Republican extremists tried to take away abortion rights Blake Rocap stopped them., What event or action prevented the efforts of Republican extremists to restrict abortion rights?,"1. ""Did Blake Rocap prevent Republican extremists from taking away abortion rights?""",barely-true
6411.json,Says Obama refuses to recognize Jerusalem as the capital of Israel., What evidence shows whether Obama refused to recognize Jerusalem as the capital of Israel?,"Question: ""Did Barack Obama publicly refuse to recognize Jerusalem as the capital of Israel?""",half-true
12492.json,Says he helped to draft parts of the Dodd-Frank Wall Street reform bill., What evidence exists of his direct involvement in drafting parts of the Dodd-Frank Wall Street reform bill?,"*""Who is claimed to have helped draft parts of the Dodd-Frank Wall Street reform bill?""*",half-true
11577.json,Says income tax rates under Eisenhower were as high as 90 percent., What evidence supports or refutes the claim that income tax rates under Eisenhower were as high as 90 percent?,"Question: ""What was the highest income tax rate during Eisenhower's presidency?""",true
12844.json,American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs., What is the actual homeownership rate percentage for American homes in the second quarter of 2016?,What is the verified American homeownership rate in Q2 2016 from a reputable source?,mostly-true
6835.json,"Romneys Medicare plan was estimated to cost the average senior about $6,000 a year.", What were the findings of a Google search regarding the estimated cost of Senator Romney's Medicare plan to the average senior per year?,"1. ""How much did Romney's Medicare plan estimatedly cost the average senior per year?""",half-true
3622.json,"If we had the same staffing ratio (of officers to residents) as Seattle, wed have 300 more officers in our department.", What is the current staffing ratio of officers to residents in our department compared to Seattle's?,"1. ""What is the officers-to-residents ratio in Seattle?""",true
13346.json,Department of Veterans Affairs doctors are prohibited from recommending medical marijuana., What evidence exists that Department of Veterans Affairs doctors are prohibited from recommending medical marijuana?,"[""Is it true that Department of Veterans Affairs doctors are prohibited from recommending medical marijuana?""]",true
2308.json,"When career politician Daniel Webster became speaker of the House, he wasted $32,000 of our money on a spiral staircase for his office."," What evidence exists that U.S. politician Daniel Webster spent $32,000 on a spiral staircase for his office?","1. ""Did Daniel Webster, as a career politician, spend $32,000 of public funds on a spiral staircase for his House office?""",mostly-true
12112.json,Texas had the highest level of turnout than ever before in the primary.," What specific turnout percentage or number of voters in Texas corresponds to ""the highest level of turnout than ever before in the primary""?","1. ""What was the turnout record in Texas primary elections prior to the latest one announced in the headline?"" (Use keywords: ""Texas turnout record primary elections"")",half-true
361.json,"Says the difference between her and Barack Obama is ""about 35 years of experience."""," ""How many years of experience does Barack Obama have that would equate to a 35-year difference?""","Who made the statement about the difference in experience between this person and Barack Obama being ""about 35 years""?",false
12946.json,22 veterans take their own lives each day.," ""How many veterans are reported to commit suicide daily according to the latest statistics or studies?""", How many veterans reportedly take their own lives daily according to reliable sources?,mostly-true
11576.json,"The United States is the only major country on earth that doesnt guarantee health care to all people as a right, not a privilege.", How can I verify if the United States is the only major country without universal healthcare as a right for all people?,"Question: ""Which major countries provide universal health care as a right for all citizens?"" (To verify if the US is the only one lacking this)",half-true
10608.json,Said former U.S. Ambassador to Kenya Scott Gration was forced to resign two years ago because of his personal use of emails., What evidence supports the claim that former U.S. Ambassador Scott Gration was forced to resign due to personal misuse of emails two years ago?,"1. ""Was Ambassador Scott Gration forced to resign due to email misuse in 2019?""",barely-true
10936.json,Says Florida is a model for successful pretrial release programs., What evidence supports the claim that Florida's pretrial release programs are considered a model of success?,"1. ""What are the specific elements making Florida's pretrial release programs successful according to recent studies or reports?""",half-true
6284.json,If you have ever visited Nashville or Washington D.C. you will see MANY names and initials carved into ... desks., What specific names and initials that are commonly carved into desks in Nashville and Washington D.C. can be identified by a Google search?,What specific landmarks or buildings in Nashville and Washington D.C. are famous for desks bearing carved names and initials?,barely-true
6739.json,Redistribution has never been a characteristic of America., What evidence exists to support the claim that redistribution has never been a characteristic of America?,"1. ""Has the United States historically practiced redistribution of wealth or resources?""",pants-fire
5127.json,Tampa is the strip club capital of the world.," ""Is there credible evidence supporting Tampa as the strip club capital of the world?"""," Why is Tampa referred to as the ""strip club capital of the world"" according to reliable sources?",false
2827.json,Said they reached a power-sharing agreement with Republican Lt. Gov. Casey Cagle, What is the outcome of the reported power-sharing agreement between Said's group and Republican Lt. Gov. Casey Cagle?,"1. ""Who did the Democrats report reaching a power-sharing agreement with, specifically named, in their latest statement?""",pants-fire
8381.json,Says between 6 and 20 bicycles can be parked in the space required by one car., What is the actual space required by one car for parking according to standardized measurements?, What is the average number of parking spaces required for one car and the capacity for bicycle parking in that same space according to reliable sources?,half-true
10609.json,I unsealed my records at Marquette University.," What university did the individual unseal their records at, according to the news headline?","1. ""Did [Your Name] officially release records at Marquette University?""",false
4166.json,Says that U.S. Rep. Allen West is a constituent of mine., What evidence confirms U.S. Representative Allen West is indeed a constituent of the specified individual?,"1. ""Who is the U.S. Rep. Allen West representatively serving and is he my constituent?""",true
3461.json,"The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.", Does the U.S. government provide foreign aid to Cuba and Venezuela despite them being considered enemies of the United States?,"1. ""Has the United States provided foreign aid to both Cuba and Venezuela despite their status as adversaries?""",false
4515.json,Says Texas wildfires are linked to climate change., Does evidence from recent Texas wildfires support a direct link to climate change?,"1. ""What is the source stating that Texas wildfires are linked to climate change?""",half-true
6916.json,"if the Agreement goes into effect, the millions of Mexican citizens who will become eligible for Social Security benefits may have a far stronger claim to benefits and protection against cuts than U.S. citizens!", What evidence confirms that Mexican citizens will have a stronger claim to Social Security benefits under the new agreement than U.S. citizens?,"1. ""Does the agreement specify different Social Security benefit eligibility or protection levels for Mexican and US citizens?""",false
8720.json,"Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.", What details confirm that John DePetro was accused of sexually assaulting a female co-worker earlier this year?,"1. ""Who was accused of sexually assaulting a female co-worker, as stated in the headline, and when did this alleged incident occur?"" [I'll use this query to find reputable news sources that report both the name",pants-fire
1186.json,"Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument"," What online sources can I verify to confirm the scale and depiction of the ""tea party"" protest crowds from Capitol to Washington Monument in the provided photo?","1. ""When and where did the 'tea party' protests occur, as shown in the photo?""",pants-fire
12784.json,The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of states office than when she took it., What evidence shows the United States approval rating change when Hillary Clinton started and ended her tenure as Secretary of State?,"1. ""What was the average US approval rating during Hillary Clinton's tenure as Secretary of State, both when she started and when she left?""",half-true
6232.json,Every one of the 67 supervisors of elections in Florida refused to carry out the effort to remove noncitizens from the voter rolls., What evidence supports the claim that all 67 supervisors of elections in Florida refused to participate in removing noncitizens from voter rolls?,"1. ""Did all 67 supervisors of elections in Florida publicly refuse to remove noncitizens from the voter rolls?""",false
97.json,Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely.," Is Bill Richardson the sole major Democratic candidate proposing a plan to withdraw all American troops from Iraq, contrary to the stance of other major Democratic candidates who favor an indefinite presence of American troops in the country?","1. ""Does Bill Richardson stand as the sole major Democratic candidate advocating for the complete withdrawal of American troops from Iraq, while other major Democratic candidates support an indefinite troop presence?""",mostly-true
12294.json,I earned more votes in the state of Wisconsin than Donald Trump did in New York., Does the voter turnout and election results for Wisconsin exceed Donald Trump's votes in New York in a comparable election?,"1. ""Did Joe Biden receive more votes than Donald Trump in both Wisconsin and New York during the 2020 presidential election?""",true
9464.json,"There are 278 Republicans in Congress. (With Eric Cantors defeat), they are now all Christian and all white except for one black senator, who was appointed."," What is the current number of Republican members in Congress post the given events, including their racial and religious demographics?","1. ""How many Republicans are currently in Congress after Eric Cantor's defeat?"" [Answer should include the number of Republicans in Congress after Cantor's departure.]",half-true
3074.json,"If the Stamp Farm wind turbine is built, the health risk of flicker impact created by shadows of blades of turbines poses real and significant health risks, particularly seizures."," How many peer-reviewed scientific studies confirm the health risks, including seizures, associated with the flicker impact from the shadows of wind turbine blades, specifically on the Stamp Farm proposed wind turbine?","1. ""Do wind turbine shadows cause significant health risks, specifically seizures, according to scientific studies?""",pants-fire
1889.json,Gov. Crist's veto also clears the way for taxpayer funding of abortion in Florida., What evidence supports the claim that Gov. Crist's veto cleared the way for taxpayer funding of abortion in Florida?,"1. ""Did Florida Governor Crist indeed veto a bill that would have restricted taxpayer funding for abortions?""",false
3050.json,Says she condemned violence at a campaign stop in Arizona in March., What events unfolded at the Arizona campaign stop in March that involved her condemning violence?,"who specifically condemned violence at the Arizona campaign stop in March, according to the news headline?",true
11788.json,"According to the most recent report, Wisconsins high school graduation rates are also up again -- to third best in the country.", What are recent statistics that confirm Wisconsin's high school graduation rates as the third best in the country?,"1. ""What is Wisconsins current ranking in US high school graduation rates based on the latest report?""",mostly-true
9440.json,"In Iran in 1979, the extremists hijacked the broad-based popular revolution against the Shah and established a brutal theocracy.", What events led to the establishment of a theocracy in Iran in 1979 following the hijacking of a popular revolution against the Shah by extremists?,"1. ""Did extremist groups seize power and establish a theocracy during the Iranian Revolution in 1979?""",mostly-true
7924.json,"On immigration reform, Marco Rubio all along has been saying, We have to have border security first and then he gets on Spanish TV, he ends up saying, No, no. That will never get in the way.", What statement did Marco Rubio originally assert regarding the order of priorities for immigration reform?,"1. ""Did Marco Rubio contradict his previous stance on immigration reform regarding border security on Spanish TV?""",barely-true
4828.json,"Dem-controlled Ohio House voted to change the process, to create objective criteria, to modify the Constitution ... to take politics out of the efforts to draw legislative boundaries.", How did the Democratically controlled Ohio House vote regarding the modification of the Constitution to create objective criteria for drawing legislative boundaries?,"1. ""Did the Ohio House, controlled by Democrats, pass a bill to establish objective criteria for redistricting and remove politics from the process as stated in the headline?""",false
10227.json,"Over the last few years, weve put more people back to work than all the other advanced economies combined.", How many people have been put back to work in the U.S. over the last few years compared to other advanced economies combined?,"1. ""How many people have advanced economies collectively put back to work over the last few years compared to the number put back to work by [Your Country's Name]?""",half-true
585.json,"Obama ""voted against critical resources: no to individual body armor, no to helicopters, no to ammunition, no to aircraft."""," What are the actual positions or votes taken by former President Obama on issues related to body armor, helicopters, ammunition, and aircraft procurement?","1. ""Did Obama actually vote against the provision of body armor, helicopters, ammunition, and aircraft during his tenure in office?""",barely-true
4086.json,Says U.S. Sen. Sherrod Brown is responsible for over $14 trillion in debt., Which reliable source confirms that U.S. Senator Sherrod Brown is responsible for over $14 trillion in debt?,"1. ""Has U.S. Sen. Sherrod Brown contributed to a total debt of over $14 trillion in the United States?""",false
2434.json,"Under Tom Barretts leadership, violent crime in Milwaukee has decreased by over 20% -- to its lowest levels in more than 20 years."," What statistics or data support the claim that under Tom Barrett's leadership, violent crime in Milwaukee has decreased by over 20% to its lowest levels in more than 20 years?","1. ""Has violent crime in Milwaukee decreased by over 20% under Tom Barrett's leadership and reached its lowest levels in more than 20 years?""",pants-fire
1868.json,Barack Obama appeared in the video for 'Whoomp! (There it is!)', Which online source confirms Barack Obama's appearance in the 'Whoomp! (There it is!)' music video?,"1. ""Did Barack Obama make an appearance in the music video for 'Whoomp! (There it is!)'?""",pants-fire
10727.json,"Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas.", What is the current number of concealed weapon permits issued in Florida compared to Texas?,"1. ""How many concealed weapon permits does Florida have compared to Texas?""",mostly-true
2046.json,"Under President George W. Bush, the U.S. had 52 months of ... uninterrupted job creation and revenues were at an all-time high in 2007.", What evidence confirms the U.S. had 52 uninterrupted months of job creation and record-high revenues in 2007 under President George W. Bush?,"1. ""Was the U.S. under President George W. Bush experiencing uninterrupted job creation for 52 months from approximately 2003 to 2007, and what was the revenue figure in 20",mostly-true
5522.json,Says Gov. Scott Walker didnt balance the budget so we now have a larger state deficit 14 months into (his) term than we did when he was elected.," What evidence is there showing Governor Scott Walker did not balance the budget, leading to a larger state deficit during his first 14 months in office compared to when he was elected?","1. ""What was the size of Wisconsin's state budget deficit when Governor Scott Walker took office and 14 months into his term?"" (Use keywords: Wisconsin budget deficit Scott Walker start end)",half-true
13275.json,"Says that compared to direct sales by manufacturers, consumers save avg of $500 per car sold through franchised dealer model.", What evidence supports the claim that consumers save an average of $500 per car sold through franchised dealer models compared to direct sales by manufacturers?,What is the average savings for consumers when buying cars through franchised dealerships compared to purchasing directly from manufacturers?,false
6892.json,Says that Josh Mandel voted to let insurance companies deny coverage for autism, Has Josh Mandel actually voted in favor of legislation allowing insurance companies to deny coverage for autism?,"1. ""Did Josh Mandel vote in favor of a law allowing insurance companies to deny coverage for autism?""",mostly-true
13424.json,"Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.", Does the source provide statistical evidence showing the insurance coverage percentage for Wisconsinites remained at 95 percent before and after the implementation of Obamacare?,"1. ""What percentage of Wisconsinites were covered by insurance before and after the implementation of Obamacare according to reliable sources?""",false
11707.json,"Secretary Clinton changes her position on (gun issues) every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we dont need federal standards."," What were Secretary Clinton's positions and statements on gun issues in the years 2000, 2008, and 2012?","1. ""Did Secretary Clinton have different stance on gun issues in 2000 and during Obama's presidency?""",half-true
12521.json,The rifle used by Omar Mateen shoots off 700 rounds in a minute., What evidence confirms that the rifle used by Omar Mateen is capable of discharging 700 rounds per minute?,"1. ""How many rounds per minute can the rifle used by Omar Mateen fire?""",barely-true
3425.json,"Building and running the Atlanta Streetcar is projected to create 1,399 jobs.", What is the projected number of jobs created by building and running the Atlanta Streetcar?,"1. ""How many jobs are projected to be created from building and running the Atlanta Streetcar?""",false
9121.json,"Wisconsin is one of the bluest states, but under Scott Walker its unemployment rate is around 3.5%.", What is the current unemployment rate in Wisconsin as stated by Scott Walker's administration?,"1. ""What is the current unemployment rate in Wisconsin as of recent data?"" [To verify if the stated unemployment rate of 3.5% is accurate.]",false
9280.json,Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras., What percentage did residential property taxes increase in Providence under Mayor Taveras's term?,"1. ""What is the percentage increase in residential property taxes in Providence under Mayor Taveras?""",pants-fire
10439.json,"Assault weapons and handguns are allowed in the state Capitol while bullhorns, trumpets, helium balloons and flags on poles are banned."," Which laws or regulations explicitly permit assault weapons and handguns in the state Capitol, yet ban items like bullhorns, trumpets, helium balloons, and flags on poles?","1. ""What are the specific gun regulations allowing assault weapons and handguns in the state Capitol, and what items are prohibited including bullhorns, trumpets, helium balloons, and flags on poles?""",mostly-true
2977.json,Teachers are working their third consecutive year -- some longer than that -- without salary increases., What evidence supports that teachers are working without salary increases for the third consecutive year?,"1. ""How long have teachers in [specific location or school district] gone without a salary increase?""",false
8335.json,The highest paid employee of the State of Rhode Island is a basketball coach., What is the current salary of the highest paid employee listed as a basketball coach for the State of Rhode Island?,"1. ""Who is the highest paid employee in the State of Rhode Island, according to recent public records?""",true
294.json,I don't have lobbyists running my campaign., What evidence is there to confirm that an individual is not employing lobbyists to manage their campaign?,"1. ""Does [Your Name or Candidate's Name] have a history of employing lobbyists for their political campaign?""",false
7786.json,"Expanding Medicaid would require borrowing more money, drastically expanding our deficit.", What evidence supports the claim that expanding Medicaid would lead to a significant increase in the national deficit?,"1. ""How much would expanding Medicaid under current budget estimates contribute to the national deficit?""",half-true
10986.json,"After (Jeb) Bushs two terms in office, Floridas graduation rate was dead last and remains near the bottom.", What statistics confirm Floridas graduation rate ranking last or near the bottom during and after Jeb Bush's terms in office?,What was Florida's graduation rate ranking among all states after Jeb Bush's two terms as governor (2001-2009)?,mostly-true
8033.json,Farming is one of the fastest growing areas of our economy., What recent economic reports or statistics confirm farming's rapid growth as a key sector in the economy?,what is the current growth rate of the farming sector in our economy?,barely-true
10612.json,Weve seen the increase of alcohol use for underage kids even though alcohol has been illegal ... for kids under 21., What evidence is there showing an increase in alcohol use among underage kids despite alcohol being illegal for those under 21?,"1. ""Has there been a recent increase in underage alcohol consumption despite the legal drinking age being 21 in the US?""",false
4512.json,"If we had been on Obamacare and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment.", What specific policy under Obamacare would potentially delay a patient's treatment for a medical procedure like a CT scan?,"1. ""Has there been evidence of Obamacare bureaucrats delaying medically necessary CAT scans for patients?""",false
5143.json,The proposed Keystone XL oil pipeline is a bipartisan proposal., Does the support for the Keystone XL oil pipeline consistently span across party lines demonstrating bipartisan agreement?,"1. ""Has the Keystone XL oil pipeline proposal received support from both Democratic and Republican politicians?""",mostly-true
5914.json,On support for gay marriage., What evidence is there of recent changes in laws or policies regarding public support for gay marriage?,"1. ""Who or what is the source of the data indicating support for gay marriage in the headline?""",true
6989.json,Says Mitt Romney just gave a speech a few weeks ago and said we should still have troops in Iraq., What did Mitt Romney say about maintaining troops in Iraq in his speech a few weeks ago?,"1. ""When did Mitt Romney deliver a speech advocating for keeping troops in Iraq, and what were his exact words?""",mostly-true
6331.json,Says David Dewhurst explicitly advocated a guest worker program for all illegal immigrants., What evidence supports the claim that David Dewhurst explicitly advocated for a guest worker program for all illegal immigrants?," incentive:""david dewhurst illegal immigrants guest worker program quote"" 

Answer: ""What were David Dewhurst's exact words regarding a guest worker program for illegal immigrants?""",mostly-true
3580.json,A Republican proposal changes Medicare for those under age 55 so that they will participate in the same kind of health plan that members of Congress do., What details in the proposal specifically change Medicare for those under age 55 to align with the health plans that members of Congress have?,What is the specific detail of the Republican proposal regarding Medicare changes for those under 55 and how does it compare to the health plan of Congress members?,barely-true
6019.json,Says the Affordable Care Act was a federal takeover of the student loan industry and profits on the loans go to help pay for the health care law., What evidence supports the claim that the Affordable Care Act was a federal takeover of the student loan industry and profits from loans help fund the healthcare law?,"1. ""Does the Affordable Care Act have any involvement in the federal management or financing of student loans?""",barely-true
1469.json,Barack Obama had 150 days in the U.S. Senate where he was able to vote quite often 'present.' ," What is the exact number of days Barack Obama served in the U.S. Senate, during which he was able to vote 'present' quite often?","1. ""How many days did Barack Obama serve in the U.S. Senate with the option to vote 'present'?""",false
9922.json,Much more than 50 percentof parents out there are spankers., What percentage of parents are reported as spankers according to the latest findings?,What percentage of parents in the United States regularly use spanking as a form of discipline?,mostly-true
2421.json,Wisconsin is one of the highest taxed states in the nation., What data supports Wisconsin's ranking as one of the highest taxed states in the nation?,"Question: ""What is Wisconsin's rank in terms of state tax burden according to recent data?""",half-true
2388.json,"Says opponent Bill Flores helped run a company that laid off over 3,000 workers and paid off executives with millions."," What evidence supports the claim that Bill Flores was involved in running a company responsible for laying off over 3,000 workers and compensating executives with millions?","1. ""Did Bill Flores play a significant role in a company that laid off 3,000 employees and paid out large executive bonuses?""",false
